sub_id,Site
sub-NDARWM656UWL,RU
sub-NDARWN691CG7,RU
sub-NDARWR628EFJ,RU
sub-NDARWR678HLF,RU
sub-NDARWT449PUN,RU
sub-NDARXF203DCD,RU
sub-NDARXH529MTX,RU
sub-NDARXH597ML1,RU
sub-NDARXR637JER,RU
sub-NDARXU715EGL,RU
sub-NDARXW276NXN,RU
sub-NDARYC466ER1,RU
sub-NDARYG665JUD,RU
sub-NDARYG874EKA,RU
sub-NDARYJ694EU0,RU
sub-NDARYR829KD8,RU
sub-NDARZH451LRZ,RU
sub-NDARZJ603JM0,RU
sub-NDARZR529EJ1,RU
sub-NDARZW363UGM,RU
sub-NDARAA536PTU,SI
sub-NDARAD481FXF,SI
sub-NDARAJ366ZFA,SI
sub-NDARAM277WZT,SI
sub-NDARAT100AEQ,SI
sub-NDARAV747WVL,SI
sub-NDARBA507GCT,SI
sub-NDARBB854DRN,SI
sub-NDARBK669XJQ,SI
sub-NDARBU112XZE,SI
sub-NDARBZ216FW8,SI
sub-NDARCA789EE0,SI
sub-NDARCB959FY4,SI
sub-NDARCJ007GF8,SI
sub-NDARDZ946KVL,SI
sub-NDAREC182WW2,SI
sub-NDAREL063PMX,SI
sub-NDARET653TAM,SI
sub-NDARFB107PVH,SI
sub-NDARFN452VPC,SI
sub-NDARGE366WNC,SI
sub-NDARGM498YFL,SI
sub-NDARGT022BEW,SI
sub-NDARGY148EVU,SI
sub-NDARHL238VL2,SI
sub-NDARHP176DPE,SI
sub-NDARHP558MGA,SI
sub-NDARHW216PER,SI
sub-NDARJM708VGE,SI
sub-NDARJP133YL3,SI
sub-NDARJP489HCE,SI
sub-NDARJR687LGX,SI
sub-NDARJX421FWR,SI
sub-NDARLA516PH1,SI
sub-NDARLZ104NDT,SI
sub-NDARLZ228PCB,SI
sub-NDARME656MTN,SI
sub-NDARMM905VYR,SI
sub-NDARMM990URX,SI
sub-NDARMZ908DUR,SI
sub-NDARNB824ARJ,SI
sub-NDARNG689AAP,SI
sub-NDARNJ894VH2,SI
sub-NDARNT042GRA,SI
sub-NDARNT939YMG,SI
sub-NDARPE596LZL,SI
sub-NDARPW482TVE,SI
sub-NDARPZ621ZLE,SI
sub-NDARRE333EKT,SI
sub-NDARRN619WHY,SI
sub-NDARRP592GHK,SI
sub-NDARRZ199KNG,SI
sub-NDARTH610GMK,SI
sub-NDARTK185PBH,SI
sub-NDARUD764NFJ,SI
sub-NDARUJ646APQ,SI
sub-NDARUL341DD2,SI
sub-NDARUT792WX7,SI
sub-NDARVB811FVD,SI
sub-NDARVC246ZY8,SI
sub-NDARVG461LA2,SI
sub-NDARVH070WH6,SI
sub-NDARVN646NZP,SI
sub-NDARWE145GN9,SI
sub-NDARWF090RZ7,SI
sub-NDARWJ087HKJ,SI
sub-NDARWW901MTC,SI
sub-NDARXF956ZU6,SI
sub-NDARXJ468UGL,SI
sub-NDARXU437UFZ,SI
sub-NDARXU679ZE8,SI
sub-NDARXY337ZH9,SI
sub-NDARYH996DA9,SI
sub-NDARYL272HDW,SI
sub-NDARYM257RR6,SI
sub-NDARYN484LLR,SI
sub-NDARYP495KFK,SI
sub-NDARYZ408VWW,SI
sub-NDARZD991YLG,SI
sub-NDARZF288FB7,SI
sub-NDARZH517ZVK,SI
sub-NDARZT772PU4,SI
sub-NDARAB458VK9,CBIC
sub-NDARAC331VEH,CBIC
sub-NDARAE877NER,CBIC
sub-NDARAH976BND,CBIC
sub-NDARAR238RZ8,CBIC
sub-NDARAX277ATU,CBIC
sub-NDARAX287BLD,CBIC
sub-NDARBD992CH7,CBIC
sub-NDARBH992ARB,CBIC
sub-NDARBN620TT7,CBIC
sub-NDARBP527JWC,CBIC
sub-NDARBU532YXZ,CBIC
sub-NDARCC340ER5,CBIC
sub-NDARCD296XU9,CBIC
sub-NDARCF052AE0,CBIC
sub-NDARCP057XJB,CBIC
sub-NDARCP642KML,CBIC
sub-NDARCR582GKJ,CBIC
sub-NDARCV606ZZ5,CBIC
sub-NDARCX021XWF,CBIC
sub-NDARDB161LU6,CBIC
sub-NDARDC814WW2,CBIC
sub-NDARDD854GF8,CBIC
sub-NDARDE827UF0,CBIC
sub-NDARDE877RFH,CBIC
sub-NDARDM156AVJ,CBIC
sub-NDARDR439HY2,CBIC
sub-NDARDU602LPX,CBIC
sub-NDARDY714NV9,CBIC
sub-NDARDY776AKH,CBIC
sub-NDARDZ425JVB,CBIC
sub-NDAREE015WGU,CBIC
sub-NDAREE675XRY,CBIC
sub-NDAREK395BM3,CBIC
sub-NDAREM155HGQ,CBIC
